app_id,app_name,app_package_name,app_category,number_of_downloads,privacy_policy_url,standard,reason
1,Waze Navigation & Live Traffic,com.waze,Maps & Navigation,500M+,http://www.waze.com/legal/privacy/,Bad Standard,"| Bad | The policy does not clearly describe its lawful basis for data processing, and it does not clearly define the purpose of data collection. The policy also fails to make a clear statement about data minimization, data accuracy, storage limitation, and measures to ensure data integrity and confidentiality."
2,Sygic GPS Navigation & Maps,com.sygic.aura,Maps & Navigation,50M+,https://www.sygic.com/company/privacy-policy,Good Standard,"| Good | The privacy policy document fulfills multiple criteria for a Good Standard Assessment. Firstly, the policy displays transparency through clear language that explains how user data is used, processed, and collected, and how the company complies with the GDPR. Secondly, the purpose limitation criteria is met, as the company clearly defines why they collect and use data, ensuring it is not used for incompatible purposes. This policy also shows data minimization, only collecting necessary data for the stated purpose. The policy allows users to correct their data, indicating a commitment to data accuracy. Lastly, through the section ""Security of personal data"", the company demonstrates measures to ensure data integrity and confidentiality. However, while the policy mentions data deletion, it does not specify a clear process for it, which might be an area for potential improvement."
3,MAPS.ME: Offline maps GPS Nav,com.mapswithme.maps.pro,Travel & Local,50M+,https://maps.me/policy/,Good Standard,"| Good |
The privacy policy of Maps.me satisfies the criteria of Good Standard as defined by the GDPR Article 5.
- Lawfulness, Fairness, and Transparency: The policy provides a comprehensive outline of the collection and usage of personal data, complying with data protection laws (1.2 and 4.1-4.3).
- Purpose Limitation: The uses and purposes of personal data are clearly specified (4.1 and 4.2).
- Data Minimization: The policy emphasizes the collection of data required for service operation and specifies the types of data collected in detail (2.1, 3.1-3.3 and 3.5).
- Accuracy: Users are capable of updating their data or adjust their preferences whenever required, providing an avenue for maintaining data accuracy (9.1 and 9.2).
- Storage Limitation: Retention periods have been alluded to, though specific criteria or data deletion details could have been more explicitly explained (8.1).
- Integrity and Confidentiality: The policy assures the implementation of heavy security measures to protect users' data, specifying restricted access and disciplinary measures in case of unauthorized access (7.1 and 7.2).
Thus, the policy encompasses all the major data protection principles effectively."
4,Avenza Maps: Offline Mapping,com.Avenza,Maps & Navigation,1M+,https://www.avenzamaps.com/legal/privacy-policy.html,Good Standard,"| Good |
The privacy policy document is of ""Good"" standard as it satisfies the conditions of GDPR Article 5 assessment. Here's how:
1. Lawfulness, Fairness, and Transparency: The policy explicitly mentions the legal basis under 'How do we use your personal data?' section for processing each type of data it collects. It transparently explains what data is collected, when it is collected, and how it's being used. The document also states which third parties will have access to the data, all of which aligns with GDPR's requirement for transparency.
2. Purpose Limitation: The document clearly defines why each type of collected data is processed, ensuring that no data is used beyond its stated purpose. It also states which third parties will have access to the data, all of which aligns with GDPR's requirement for purpose limitation.
3. Data Minimization: Policy focuses on only necessary data collection and uses terms such as 'necessary for the performance of a contract', 'necessary for compliance with a legal obligation' etc., throughout, indicating data minimization principle adherence.
4. Accuracy: Users are given rights to rectify inaccurate data about them. It describes in the 'What are your rights relating to the processing and storage of your personal data?' section that users have the right to have any inaccurate personal data rectified.
5. Storage Limitation: The policy specifies retention periods, stating that personal data is kept only as necessary based on the purpose for which it was collected or as required by law or other relevant requirements.
6. Integrity and Confidentiality: The policy outlines the various data security measures in place, including regular malware scanning, SSL encryption, and secure access rights. It also provides a detailed plan of action in the event of any data breach."
5,Circuit Route Planner,com.underwood.route_optimiser,Maps & Navigation,5M+,https://www.getcircuit.com/privacy.html,Good Standard,"| Good | The privacy policy is Good Standard as it clearly outlines the lawful basis for data processing in compliance with GDPR Article 5. The policy is also presented in clear and simple language allowing users to understand how their data is used (Lawfulness, Fairness, and Transparency). The purposes for data collection are clearly defined and seem to adhere to the principle of Purpose Limitation. Only necessary data is collected (Data Minimization). The policy also informs users that they can request the deletion of their data, suggesting that there are mechanisms in place for data accuracy. The policy also indicates specific retention periods for different types of data (Storage Limitation). Lastly, the policy describes the technical measures the company uses to secure user data, such as SSL secured communication, encryption, digital signatures, and hashed passwords (Integrity and Confidentiality). The policy, therefore, adheres to all the elements of a Good Standard privacy policy based on GDPR Article 5."
6,Trucker Path: Truck GPS & Fuel,com.sixdays.truckerpath,Maps & Navigation,1M+,https://truckerpath.com/privacy-policy,Good Standard,"| Good | The privacy policy of Trucker Path displays a clear commitment towards maintaining user's data privacy, complying with necessary regulations such as GDPR, CCPA, and COPPA.
1. Lawfulness, Fairness, and Transparency: The document clearly provides information about the collection, use, and sharing of personal data, making it transparent and understandable to the users.
2. Purpose Limitation: The policy outlines the specific purposes for which the data is collected and used, such as to provide services, personalize user experience, and comply with legal obligations.
3. Data Minimization: The policy explicitly states that only necessary data is collected for specifically defined purposes, aligning well with the principle of data minimization.
4. Accuracy: The policy provides a mechanism for users to view, update, delete, or supplement their personal information via a Data Subject Access Request (DSAR) Portal or via their contact email.
5. Storage Limitation: The policy states that all personal information is retained only for as long as necessary for the purposes for which it was collected or transferred.
6. Integrity and Confidentiality: The policy details the company's security measures, including the usage of SSL encryption, administrative safeguards, and engaging employees' awareness on the importance of maintaining privacy and security. Trucker Path also addresses its responsibilities in case of a data breach.
7. The policy additionally complies with specific regional laws like GDPR for EU, CCPA for California, and COPPA for children’s data.
All these points indicate an adherence to the principles of GDPR, deeming the privacy policy to be of ""Good Standard""."
7,HERE WeGo: Maps & Navigation,com.here.app.maps,Maps & Navigation,10M+,https://legal.here.com/en-gb/privacy/here-wego-here-application-or-here-maps-privacy-supplement-updated,Good Standard,"| Good |
The privacy policy of the Android application demonstrates a generally high standard of privacy practices.
1. Lawfulness, Fairness, and Transparency: The policy meticulously explains how it processes user data, demonstrating lawfulness and fairness. It clearly defines its lawful bases for data processing, for instance, user consent, performance of a contract, compliance with legal obligations, and legitimate interests. This contributes to its transparency.
2. Purpose Limitation: The policy clearly defines why it collects user data, and notably, it seeks explicit user consent for certain types of data processing.
3. Data Minimization: It outlines the specific kinds of personal data it collects and how this data directly pertains to the functionality of the application, thus adhering to the principle of data minimization.
4. Accuracy: The app allows users to update or correct their data, which supports data accuracy.
5. Storage Limitation: The policy defines its retention periods and assures users that data is retained no longer than necessary for the intended purpose.
6. Integrity and Confidentiality: The only aspect where the policy is somewhat vague regards the specific security measures taken to ensure data integrity and confidentiality. However, it does state that user data isn't shared with third parties without the user's permission, which suggests that security precautions are in place.
Despite this small weak point, the policy still satisfies the key principles of Good Standard assessment overall. It might benefit further from a explicit explanation of the technical and organizational measures employed to safeguard user data."
8,MapChart,com.whidev.mapchart,Art & Design,1M+,https://www.websitepolicies.com/policies/view/IIwGRRj7,Good Standard,"| Good | The privacy policy of the MapChart Mobile Application demonstrates a good standard in alignment with GDPR Article 5. The policy exhibits a level of transparency by explicitly informing users about the types of information that may be collected and the purposes for such collection, which promotes lawfulness and fairness. Definite and limited purposes of personal data collection are stated, such as improving user experience, supporting inquiries, and operating the Mobile Application and Services, in line with the principle of Purpose Limitation. Data minimization is implemented through the policy of collecting information only necessary for ensuring access to the Mobile Application and Services. Measures for data accuracy are included by something giving user the right to correct, amend, or update their data. A clear retention period of up to 60 months is designated for user information fulfilling the condition of Storage Limitation. Moreover, the emphasis on high-level privacy protection and data security through encryption and protected servers satisfies the concept of integrity and confidentiality. The policy also lays out well-structured procedures in the event of a data breach and details regarding changes and amendments to the policy. Finally, the policy outlines the clear procedures for users to exercise their data protection rights under GDPR as well as the CCPA. |"
9,"NAVER Map, Navigation",com.nhn.android.nmap,Maps & Navigation,50M+,https://policy.naver.com/policy-mobile/privacy.html,Good Standard,"| Good | The policy indicates that it makes efforts to be clear and understandable by using a 'Plain Language Privacy Policy' principle. It provides detailed information on the conditions involving user information collection, the terms of consent regarding cookies, limited data collection necessary for service provision, and anonymization techniques to protect user data. It is also transparent about sharing user information with external service providers in certain cases. They stipulate a clear storage period (eg. 7 years for booking data). The policy includes security measures like encryption, access control, and backup systems. It ensures integrity and confidentiality by promising regular technical and administrative protection measures, and operating dedicated teams for data protection. In addition to legal requirements, users have the option to refuse data transmission, and user confirmation is requested for data provision to third-party services. The policy includes options for user withdrawal and data access denial through browser settings. Information is safely discarded after the storage period using technical methods for electronic files and shredding or incineration for printouts. The policy also indicates opportunities for user-company interaction through a dedicated blog for data protection."
10,TomTom AmiGO - GPS Navigation,com.tomtom.speedcams.android.map,Maps & Navigation,5M+,https://www.tomtom.com/nl_nl/navigation/mobile-apps/amigo-app/privacy-policy/,Bad Standard,"| Bad |
The provided privacy policy does not provide the necessary criteria for a Good Standard assessment. There is a mention about transparency in terms of the company stating its intention of not misusing users' data and an emphasis on allowing users control over their data. However, it lacks specific details in terms of lawfulness, purpose limitation, data minimization, accuracy, storage limitation, and integrity and confidentiality measures."
